srx_accession,entrez_id,file_path,obs_count,lib_prep,tech_10x,cell_prep,organism,tissue,tissue_ontology_term_id,disease,disease_ontology_term_id,perturbation,cell_line,antibody_derived_tag,czi_collection_id,czi_collection_name,is_lung,study_accession
ERX11662364,34274134,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662364.h5ad,31892,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,unsure,not_applicable,no,,,True,PRJEB68315
ERX11662370,34281490,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662370.h5ad,9181,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,unsure,no,,,True,PRJEB68315
ERX11662369,34284000,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662369.h5ad,12566,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,not_applicable,no,,,True,PRJEB68315
ERX11662380,34278224,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662380.h5ad,14747,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung (normal tissue adjacent to tumor),,non-small cell lung cancer (NSCLC),MONDO:0005233,unsure,unsure,no,,,True,PRJEB68315
ERX11662367,34282652,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662367.h5ad,25538,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,not_applicable,no,,,True,PRJEB68315
ERX11662377,34278804,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662377.h5ad,28944,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung cancer,MONDO:0005233,cells treated with collagenase IV and DNase I,not specified,no,,,True,PRJEB68315
ERX11662378,34275895,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662378.h5ad,29473,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,not_applicable,no,,,True,PRJEB68315
ERX8831394,34097775,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831394.h5ad,4254,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,squamous cell lung carcinoma,MONDO:0005097,"Calbindin-deficient HARA 3D5 cells, HARA.LTR7-GFP+ and HARA.LTR7-GFP- cells",HARA (epithelial cell),no,,,True,PRJEB51720
ERX8831397,34080375,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831397.h5ad,12548,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,squamous cell lung carcinoma,MONDO:0005097,HERVH LTR7-GFP transduction,HARA,no,,,True,PRJEB51720
SRX20098024,27506854,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20098024.h5ad,5395,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung cancer organoid,,lung cancer,MONDO:0008903,unsure,derived from cryobiopsy specimens of lung cancer patients,no,,,True,PRJNA961720
SRX19780691,27123120,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780691.h5ad,3212,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,Bronchoalveolar cells,UBERON:0008870,Post-COVID lung disease,MONDO:0100320,No active treatment or perturbation applied,Not applicable,no,,,True,PRJNA949104
SRX19780690,27123119,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780690.h5ad,4168,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,bronchoalveolar cells,UBERON:0004903,post-COVID lung disease,MONDO:0100320,unsure,unsure,no,,,True,PRJNA949104
SRX19780688,27123117,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780688.h5ad,4183,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,Bronchoalveolar cells,UBERON:0008870,"Post-COVID-19 lung disease, fibrotic",MONDO:0100320,unsure,unsure,no,,,True,PRJNA949104
SRX19780694,27123123,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780694.h5ad,2090,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,bronchoalveolar cells,UBERON:0000115,post-COVID lung disease,MONDO:0100320,none,none,no,,,True,PRJNA949104
SRX22613097,30615615,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613097.h5ad,3332,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma,,non-small cell lung cancer (NSCLC),MONDO:0005233,DMSO,HCC4006,no,,,True,PRJNA1044045
SRX19162057,26358126,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162057.h5ad,5499,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung and lung-associated lymph nodes,"UBERON:0002048,UBERON:0039167",unsure,,unsure,unsure,maybe,,,True,PRJNA927026
SRX18965987,26106287,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18965987.h5ad,1848,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,human airway organoid,UBERON:0000379,none,,Vehicle,none,no,,,True,PRJNA919922
SRX19233504,26437776,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233504.h5ad,4652,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,distal thrombus from pulmonary artery,UBERON:8600060,Chronic Thromboembolic Pulmonary Hypertension (CTEPH),MONDO:0013024,unsure,unsure,no,,,True,PRJNA929967
ERX11662376,34277976,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662376.h5ad,21550,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,not_applicable,no,,,True,PRJEB68315
ERX11662375,34284472,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662375.h5ad,4710,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,not_applicable,no,,,True,PRJEB68315
ERX11662381,34283643,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662381.h5ad,11700,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,none specified,patient 22,no,,,True,PRJEB68315
ERX11662384,34284361,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662384.h5ad,2832,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,unsure,no,,,True,PRJEB68315
ERX11662361,34283421,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662361.h5ad,5423,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,unsure,unsure,no,,,True,PRJEB68315
SRX22613099,30615617,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613099.h5ad,2643,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma,UBERON:0004821,non-small cell lung cancer (NSCLC),MONDO:0005233,"Osimertinib (1 µM), Tipifarnib (1 µM)",HCC4006,no,,,True,PRJNA1044045
SRX22613094,30615612,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613094.h5ad,2442,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma,UBERON:0000115,lung adenocarcinoma,MONDO:0005061,DMSO,HCC4006,no,,,True,PRJNA1044045
SRX22613095,30615613,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613095.h5ad,3222,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma,UBERON:0002048,non-small cell lung cancer (NSCLC),MONDO:0005233,"Osimertinib (1 µM), Osimertinib + Tipifarnib (1 µM)",HCC4006,no,,,True,PRJNA1044045
ERX11662382,34277797,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662382.h5ad,1651,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,not_applicable,no,,,True,PRJEB68315
SRX23886062,32190804,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886062.h5ad,4683,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,pleural mesothelioma,UBERON:0000977,pleural mesothelioma,MONDO:0003308,unsure,unsure,no,,,True,PRJNA787622
SRX23886064,32190806,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886064.h5ad,5476,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,pleural mesothelioma,UBERON:0003390,"type 2 diabetes mellitus, obesity",MONDO:0005148,"semaglutide, dulaglutide, metformin, diet",unsure,no,,,True,PRJNA787622
SRX23886065,32190807,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886065.h5ad,30813,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,pleural mesothelioma,UBERON:0003390,pleural mesothelioma,MONDO:0003308,"Collagenase IV, Collagenase D, DNAse I treatment",unsure,no,,,True,PRJNA787622
ERX11662366,34281062,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662366.h5ad,21377,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,unsure,unsure,no,,,True,PRJEB68315
ERX11662359,34277249,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662359.h5ad,31955,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,unsure,unsure,no,,,True,PRJEB68315
SRX22613098,30615616,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613098.h5ad,3086,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma,UBERON:0004821,lung adenocarcinoma,MONDO:0005061,osimertinib (1 µM),HCC4006,no,,,True,PRJNA1044045
SRX23886063,32190805,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886063.h5ad,3363,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,pleural mesothelioma,UBERON:0000977,pleural mesothelioma,MONDO:0003308,unsure,unsure,no,,,True,PRJNA787622
ERX11662338,34281323,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662338.h5ad,15099,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung cancer,MONDO:0005233,unsure,not applicable; the sample is from a patient,no,,,True,PRJEB68315
ERX8831396,34078806,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831396.h5ad,5408,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,squamous cell lung carcinoma,MONDO:0005097,HERVH LTR7-GFP transduction,HARA,no,,,True,PRJEB51720
SRX19192164,26391783,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19192164.h5ad,12689,10x_Genomics,not_applicable,single_cell,Homo sapiens,lung,UBERON:0002048,lung sequestration,MONDO:0017843,"anti-infection and anti-inflammatory regimen, ECMO support, surgical intervention for air leak",not applicable,no,,,True,PRJNA928385
SRX10327362,13454938,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10327362.h5ad,5676,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung (primary basal airway epithelial cells),UBERON:0002031,measles virus infection (MeV-exposed),MONDO:0004619,"exposure to measles virus, day 3 post-exposure, sorted GFP-",none (primary cells),no,,,True,PRJNA713903
ERX11876750,36179905,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876750.h5ad,7170,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor central margin,UBERON:0002048,non-small cell squamous lung carcinoma,MONDO:0056806,unsure,"fibroblast, endothelial cell",no,,,True,PRJEB71931
SRX23886061,32190803,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886061.h5ad,7778,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,pleural mesothelioma,UBERON:0003390,pleural mesothelioma,MONDO:0003308,unsure,unsure,no,,,True,PRJNA787622
SRX23886066,32190808,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886066.h5ad,30013,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,pleural mesothelioma,UBERON:0003390,pleural mesothelioma,MONDO:0003308,unsure,unsure,no,,,True,PRJNA787622
SRX23907174,32212198,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23907174.h5ad,2662,10x_Genomics,other,single_nucleus,Homo sapiens,bronchial epithelial cells,UBERON:0002031,inflammation of the respiratory system,MONDO:0024355,"exposure to particulate matter, NAC pretreatment, AG490 treatment",16HBE,no,,,True,PRJNA799597
ERX11876760,36179455,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876760.h5ad,4235,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung adenocarcinoma,MONDO:0005233,surgical resection,not specified,no,,,True,PRJEB71931
ERX11876763,36178939,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876763.h5ad,2470,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor central margin,UBERON:0002048,non-small cell squamous lung carcinoma,MONDO:0056806,surgical resection of lung tissue,lymphocyte,no,,,True,PRJEB71931
ERX11876766,36180387,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876766.h5ad,616,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor central margin,,non-small cell squamous lung carcinoma,MONDO:0056806,unsure,lymphocyte,no,,,True,PRJEB71931
ERX11876767,36179222,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876767.h5ad,1408,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor subpleural margin,UBERON:0008946,non-small cell squamous lung carcinoma,MONDO:0056806,unsure,lymphocyte,no,,,True,PRJEB71931
SRX18248070,25232719,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248070.h5ad,11788,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,unsure,no,,,True,PRJNA901260
ERX11876755,36180358,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876755.h5ad,6021,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung adenocarcinoma,MONDO:0005233,surgical resection,"fibroblast, endothelial cell",no,,,True,PRJEB71931
ERX11876754,36178598,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876754.h5ad,6834,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor subpleural margin,UBERON:0002401,non-small cell lung adenocarcinoma,MONDO:0005233,samples collected after surgical resection,"fibroblast, endothelial cell",no,,,True,PRJEB71931
SRX24476193,32792370,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24476193.h5ad,731,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung organoids,,unsure,,unsure,BU3,no,,,True,PRJNA1108329
SRX26524302,35844324,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26524302.h5ad,1993,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,portal hypertension,MONDO:0005080,unsure,unsure,no,,,True,PRJNA1178711
SRX27123183,36603390,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX27123183.h5ad,7570,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung organoids,UBERON:0002048,unsure,,LVV transduction,iPSCs-derived lung organoids,no,,,True,PRJNA1200047
ERX11876753,36178692,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876753.h5ad,3736,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor subpleural margin,UBERON:0002401,non-small cell squamous lung carcinoma,MONDO:0056806,tissue digested using MACS human tumor dissociation kit,"fibroblast, endothelial cell",no,,,True,PRJEB71931
SRX26524301,35844323,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26524301.h5ad,4623,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,,HIV-associated neuropathy,MONDO:0005244,combined antiretroviral therapy (cART),unsure,no,,,True,PRJNA1178711
ERX11876769,36179547,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876769.h5ad,8074,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor subpleural margin,,non-small cell lung adenocarcinoma,MONDO:0005233,samples collected after surgical resection,"fibroblast, endothelial cell",no,,,True,PRJEB71931
ERX11876768,36180324,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876768.h5ad,3729,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor subpleural margin,UBERON:0002401,non-small cell lung adenocarcinoma,MONDO:0005233,unsure,other,no,,,True,PRJEB71931
ERX11876758,36178545,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876758.h5ad,6726,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor subpleural margin,UBERON:0008946,non-small cell lung adenocarcinoma,MONDO:0005233,unsure,unsure,no,,,True,PRJEB71931
ERX11876751,36179136,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876751.h5ad,5063,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor central margin,UBERON:0002048,non-small cell squamous lung carcinoma,MONDO:0056806,samples collected after surgical resection and digested using a MACS human tumor dissociation kit,"fibroblast, endothelial cell",no,,,True,PRJEB71931
ERX11876765,36179048,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876765.h5ad,1936,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor central margin,UBERON:0002048,non-small cell squamous lung carcinoma,MONDO:0056806,samples collected after surgical resection,lymphocyte,no,,,True,PRJEB71931
SRX25319045,33661520,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25319045.h5ad,7280,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,primary airway cells,UBERON:0004802,Primary Ciliary Dyskinesia,MONDO:0016575,unsure,unsure,no,,,True,PRJNA1135481
SRX26487588,35790369,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487588.h5ad,13713,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,adjacent normal lung,UBERON:0002048,KRAS and STK11 mutations in lung cancer,MONDO:0005061,Nivolumab treatment,Cryopreserved dissociated tissue,no,,,True,PRJNA1177414
SRX26487574,35790355,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487574.h5ad,8634,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung tumor,UBERON:0002048,KRAS-mutant lung cancer,MONDO:0005061,Nivolumab and ipilimumab,Cryopreserved dissociated tissue; Sorted T cells,no,,,True,PRJNA1177414
ERX11876770,36178873,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876770.h5ad,3007,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung adenocarcinoma,MONDO:0005233,unsure,unsure,no,,,True,PRJEB71931
SRX19907929,27280146,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19907929.h5ad,1986,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,unsure,,IL-13 treatment for 7 days,healthy human airway epithelial cells,no,,,True,PRJNA953399
SRX26524299,35844321,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26524299.h5ad,1742,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,unsure,,unsure,derived from normal lung organoids from 2 patients,no,,,True,PRJNA1178711
