srxAccession,studyAccession,diseaseRaw,diseaseOntologyTermId,diseaseName,tissueRaw,tissueOntologyRaw,cellLineRaw,diseaseArea,diseaseAreaSource,diseased,isBiologicalControl,controlType,isExperimentalComparator,eligible,excludeReason
SRX10048381,PRJNA669824,control (non-COVID),,,lung (autopsy),UBERON:0002048,not applicable,COVID-19 / SARS-CoV-2,disease_text,,False,,False,True,
SRX10048384,PRJNA669824,control (non-COVID-19),,,lung,UBERON:0002048,none,COVID-19 / SARS-CoV-2,disease_text,,False,,False,True,
SRX10048385,PRJNA669824,idiopathic pulmonary fibrosis (IPF),MONDO:0800504,,lung,UBERON:0002048,none,IPF / Pulmonary Fibrosis,disease_text,True,False,,False,True,
SRX10048388,PRJNA669824,non-COVID control,,,lung (autopsy),UBERON:0002048,none,COVID-19 / SARS-CoV-2,disease_text,,False,,False,True,
SRX10048389,PRJNA669824,COVID-19,MONDO:0100096,,lung,UBERON:0002048,not_applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10048390,PRJNA669824,"non-COVID control (study includes COVID-19, IPF, and healthy controls)",,,lung,UBERON:0002048,none,IPF / Pulmonary Fibrosis,disease_text,,False,,False,True,
SRX10048391,PRJNA669824,COVID-19,MONDO:0100096,,lung,UBERON:0002048,not_applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10048393,PRJNA669824,COVID-19 (lethal cases),MONDO:0100096,,lung (autopsy),UBERON:0002048,not applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10048395,PRJNA669824,COVID-19 (lethal cases),MONDO:0100096,,"lung (autopsy, endothelial-enriched pulmonary vasculature and non-vascular cells)",UBERON:0002048,not_applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10048396,PRJNA669824,COVID-19,MONDO:0100096,,lung (autopsy),UBERON:0002048,not applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10048397,PRJNA669824,"COVID-19, ARDS, lethal infection",MONDO:0100096,,lung,UBERON:0002048,none reported,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10075291,PRJNA701396,none (control),,,airway epithelium (3D human airway epithelial cultures),UBERON:0004802,basal-like human airway progenitor cells,Other,missing_ontology,False,True,healthy,False,True,
SRX10100445,PRJNA701930,none (mock infection),,,bronchial epithelial cells,UBERON:0002031,primary human bronchial epithelial cells,COVID-19 / SARS-CoV-2,study_consensus,False,True,healthy,False,True,
SRX10100446,PRJNA701930,SARS-CoV-2 infection,MONDO:0100096,,bronchial epithelial cells,UBERON:0002031,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10100447,PRJNA701930,SARS-CoV-2 infection,MONDO:0100096,,primary human bronchial epithelial cells,UBERON:0002031,differentiated primary human bronchial epithelial cells,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10100448,PRJNA701930,SARS-CoV-2 infection,MONDO:0100096,,bronchial epithelial cells (airway epithelium),UBERON:0002031,primary human bronchial epithelial cells,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX10152685,PRJNA704098,chronic obstructive pulmonary disease (COPD),MONDO:0005002,,lung (peripheral lung parenchyma),UBERON:0008946,none,COPD,disease_text,True,False,,False,True,
SRX10327362,PRJNA713903,measles virus infection (MeV-exposed),MONDO:0004619,,lung (primary basal airway epithelial cells),UBERON:0002031,none (primary cells),Other,missing_ontology,,False,,False,False,unmapped_disease
SRX10327363,PRJNA713903,none (mock control),,,primary human airway epithelial cells (lung),UBERON:0002031,primary basal cells from human airway epithelia,Other,missing_ontology,False,True,healthy,False,True,
SRX10327364,PRJNA713903,Measles virus infection (MeV exposure),MONDO:0004619,,lung airway epithelial cells (primary basal cells),UBERON:0004802,primary human airway basal cells,Other,missing_ontology,,False,,False,False,unmapped_disease
SRX10327365,PRJNA713903,Measles virus infection,MONDO:0004619,,airway epithelial cells,UBERON:0004802,primary human airway epithelial cultures,Other,missing_ontology,,False,,False,False,unmapped_disease
SRX10327366,PRJNA713903,not specified,,,lung (primary basal cells),UBERON:0000115,primary basal cells,Other,missing_ontology,,False,,False,False,unmapped_disease
SRX10327367,PRJNA713903,none specified; measles virus infection experiment,,,lung,UBERON:0002048,none reported,Other,missing_ontology,False,True,healthy,False,True,
SRX10327368,PRJNA713903,Measles virus infection,MONDO:0004619,,airway epithelial basal cells (lung),UBERON:0002031,primary human basal cells,Other,missing_ontology,,False,,False,False,unmapped_disease
SRX10327369,PRJNA713903,none (mock-exposed control),,,lung (primary basal cells),UBERON:0000115,primary basal cells (not an established cell line),Other,missing_ontology,False,True,healthy,False,True,
SRX10335835,PRJNA714138,lung cancer,MONDO:0008903,,lung,UBERON:0002048,none,Lung Cancer,disease_text,True,False,,False,True,
SRX10425169,PRJNA716656,idiopathic pulmonary arterial hypertension (IPAH),MONDO:0001999,,lung explant,UBERON:0002048,none reported,Pulmonary Hypertension,disease_text,True,False,,False,False,excluded_sample_type
SRX10425170,PRJNA716656,idiopathic pulmonary arterial hypertension (IPAH),MONDO:0001999,,lung,UBERON:0002048,not applicable,Pulmonary Hypertension,disease_text,True,False,,False,True,
SRX10606547,PRJNA722248,malignant pleural mesothelioma,MONDO:0005065,,pleural mesothelioma tumor,UBERON:0003390,none,Other,missing_ontology,,False,,False,False,unmapped_disease
SRX10697703,PRJNA725827,breast carcinoma (ER+); MCF7-V cell line,MONDO:0004989,,MCF7-V breast carcinoma cell line (pleural effusion metastasis),UBERON:0001087,MCF7-V,Other,missing_ontology,,False,,False,False,excluded_sample_type
SRX10697704,PRJNA725827,breast carcinoma (metastatic),MONDO:0004989,,breast carcinoma cells from metastatic pleural effusion,UBERON:0000175,MCF7-V,Other,missing_ontology,,False,,False,False,unmapped_disease
SRX10957183,PRJNA731910,lung adenocarcinoma,MONDO:0005061,,lung adenocarcinoma cell line (PC9),UBERON:0004821,PC9,Lung Cancer,disease_text,True,False,,False,False,excluded_sample_type
SRX10984879,PRJNA732700,none reported,,,fetal lung fibroblast,UBERON:0004883,"WI-38, hTERT-immortalized WI-38",Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX10984881,PRJNA732700,none specified,,,fetal lung fibroblast (WI-38),UBERON:0002048,WI-38,Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX10984882,PRJNA732700,no disease; replicative senescence model,,,lung fibroblast (WI-38 cell line),UBERON:0002048,WI-38,Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX10984883,PRJNA732700,replicative senescence,MONDO:0019303,,WI-38 fetal lung fibroblasts,UBERON:0002048,WI-38,Other,missing_ontology,,False,,False,False,excluded_sample_type
SRX10984884,PRJNA732700,replicative senescence,MONDO:0019303,,fetal lung fibroblast,UBERON:0004883,WI-38,Other,missing_ontology,,False,,False,False,excluded_sample_type
SRX10984886,PRJNA732700,,,,fetal lung fibroblast,UBERON:0002048,WI-38,Other,missing_ontology,,False,,False,False,excluded_sample_type
SRX10984887,PRJNA732700,none (modeling replicative senescence),,,fetal lung fibroblast,UBERON:0000114,WI-38,Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX10984888,PRJNA732700,replicative senescence (cellular aging),MONDO:0019303,,fetal lung fibroblast,UBERON:0002048,WI-38,Other,missing_ontology,,False,,False,False,excluded_sample_type
SRX10984889,PRJNA732700,none (replicative senescence model),,,lung fibroblast (WI-38 cell line),UBERON:0002048,"WI-38, WI-38 hTERT",Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX10984890,PRJNA732700,none (replicative senescence model),,,lung fibroblast (WI-38 cell line),UBERON:0000114,WI-38,Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX10984891,PRJNA732700,"none (normal fibroblasts, replicative senescence model)",,,WI-38 fetal lung fibroblast cell culture,UBERON:0000114,WI-38,Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX10984892,PRJNA732700,none (normal cell line),,,lung fibroblast (WI-38 cell line),UBERON:0000114,WI-38,Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX10984893,PRJNA732700,replicative senescence,MONDO:0019303,,fetal lung fibroblast (WI-38 cell line),UBERON:0004883,WI-38,Other,missing_ontology,,False,,False,False,excluded_sample_type
SRX11071611,PRJNA735258,COVID-19 (post-acute lung sequelae),MONDO:0100096,,"PBMC (peripheral blood mononuclear cells), BAL (bronchoalveolar lavage)",UBERON:0035963,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11071612,PRJNA735258,COVID-19 (post-acute lung sequelae),MONDO:0100096,,"peripheral blood mononuclear cells (PBMC), bronchoalveolar lavage (BAL)",UBERON:0000178,not_applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11071613,PRJNA735258,COVID-19 (convalescent),MONDO:0100096,,PBMC and bronchoalveolar lavage (BAL) CD3+ T cells,"UBERON:0000178,UBERON:0002048",not_applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11071614,PRJNA735258,COVID-19 convalescent lung sequelae,MONDO:0100320,,"PBMC, bronchoalveolar lavage (BAL)",UBERON:0000178,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11071615,PRJNA735258,Post-acute COVID-19 lung sequelae (convalescent donor),MONDO:0100320,,"Peripheral blood mononuclear cells (PBMC), bronchoalveolar lavage (BAL) T cells",UBERON:0035963,not applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11071616,PRJNA735258,COVID-19 convalescent,MONDO:0100320,,"Peripheral blood mononuclear cells (PBMC), bronchoalveolar lavage (BAL)",UBERON:0000178,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11071617,PRJNA735258,post-acute COVID-19 lung sequelae,MONDO:0100320,,"PBMC, bronchoalveolar lavage (BAL)","UBERON:0000178,UBERON:0002048",none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11071624,PRJNA735258,none (healthy donor),,,"peripheral blood mononuclear cells (PBMC), bronchoalveolar lavage (BAL)",UBERON:8850000,none,COVID-19 / SARS-CoV-2,study_consensus,False,True,healthy,False,False,non_lung
SRX11143423,PRJNA634136,lung cancer,MONDO:0008903,,lung,UBERON:0002048,PC9,Lung Cancer,disease_text,True,False,,False,False,excluded_sample_type
SRX11143424,PRJNA634136,"lung adenocarcinoma (PC9), melanoma (COLO829)",MONDO:0005061,,"lung (PC9), skin (COLO829)","UBERON:0002048,UBERON:0002097","PC9, COLO829",Lung Cancer,disease_text,True,False,,False,False,excluded_sample_type
SRX11143425,PRJNA634136,cancer (cell lines derived from tumors),MONDO:0004992,,"skin, large intestine, lung (cell lines: A375, COLO829, MMACSF, HT29, PC9)","UBERON:0002097,UBERON:0000059,UBERON:0002048","A375, COLO829, MMACSF, HT29, PC9",Lung Cancer,study_consensus,,False,,False,False,excluded_sample_type
SRX11143427,PRJNA634136,lung cancer (adenocarcinoma),MONDO:0005061,,PC9 lung cancer cell line (cultured cells),,PC9,Lung Cancer,disease_text,True,False,,False,False,excluded_sample_type
SRX11143428,PRJNA634136,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,PC9_LUNG,Lung Cancer,disease_text,True,False,,False,True,
SRX11143429,PRJNA634136,lung cancer,MONDO:0008903,,"lung (PC9 cell line, lung adenocarcinoma)",UBERON:0002048,PC9,Lung Cancer,disease_text,True,False,,False,False,excluded_sample_type
SRX11143430,PRJNA634136,"cancer (melanoma, breast cancer, lung cancer, colorectal cancer)","MONDO:0004992,MONDO:0005105,MONDO:0007254,MONDO:0008903,MONDO:0005575",,"skin, breast, lung, large intestine (cancer cell lines: A375, BT474, COLO829, EFM192A, HCC827, HT29, MMACSF, PC9)","UBERON:0002097,UBERON:0000310,UBERON:0002048,UBERON:0000059","A375, BT474, COLO829, EFM192A, HCC827, HT29, MMACSF, PC9",Lung Cancer,disease_text,True,False,,False,False,excluded_sample_type
SRX11185436,PRJNA739470,none/normal,,,lung (organoid-derived),UBERON:0002048,none,Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX11185438,PRJNA739470,none,,,distal lung organoid,UBERON:0002299,lung organoid,Other,missing_ontology,False,True,healthy,False,False,excluded_sample_type
SRX11438983,PRJNA746455,naive (non-infected),,,fetal lung xenograft,UBERON:0002048,none specified,COVID-19 / SARS-CoV-2,study_consensus,,False,,True,True,
SRX11438984,PRJNA746455,SARS-CoV-2 infection,MONDO:0100096,,fetal lung xenograft (implanted in NRG-Flk2–/– HNFL mice),UBERON:0002048,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,True,True,
SRX11438985,PRJNA746455,"none (SARS-CoV-2 infection experiment, not a disease model)",,,fetal lung xenograft,UBERON:0002048,none,COVID-19 / SARS-CoV-2,disease_text,,False,,True,True,
SRX11438986,PRJNA746455,none (naive control),,,fetal lung xenograft,UBERON:0002048,none,COVID-19 / SARS-CoV-2,study_consensus,False,True,healthy,True,True,
SRX11438987,PRJNA746455,SARS-CoV-2 infection,MONDO:0100096,,fetal lung xenograft,UBERON:0002048,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX11438988,PRJNA746455,"none (naive, non-infected)",,,fetal lung xenograft,UBERON:0002048,none,COVID-19 / SARS-CoV-2,study_consensus,False,True,healthy,True,True,
SRX11438989,PRJNA746455,SARS-CoV-2 infection,MONDO:0100096,,fetal lung xenograft,UBERON:0002048,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX11438990,PRJNA746455,SARS-CoV-2 infection,MONDO:0100096,,fetal lung xenograft,UBERON:0002048,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX11438991,PRJNA746455,SARS-CoV-2 infection,MONDO:0100096,,fetal lung xenograft,UBERON:0002048,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX11438992,PRJNA746455,SARS-CoV-2 infection,MONDO:0100096,,fetal lung xenograft (dissociated into single-cell suspension),UBERON:0002048,CD34+ human hematopoietic stem cells engrafted in NRG Flk2-/- mouse,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,True,
SRX11438994,PRJNA746455,SARS-CoV-2 infection (WA isolate),MONDO:0100096,,fetal lung xenograft (human fetal lung tissue engrafted in mouse),UBERON:0002048,CD34+ human hematopoietic stem cells,COVID-19 / SARS-CoV-2,disease_text,True,False,,True,True,
SRX11515819,PRJNA748731,COVID-19 (critically ill ICU patients),MONDO:0100096,,"peripheral blood mononuclear cells (PBMCs), endotracheal aspirate (ETA)",UBERON:0003126,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515843,PRJNA748731,"COVID-19, ARDS, critically ill",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate (airway) cells","UBERON:0000178,UBERON:0001901",none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515848,PRJNA748731,"COVID-19, ARDS (acute respiratory distress syndrome)",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate",,,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515850,PRJNA748731,"COVID-19, ARDS, healthy control",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirates","UBERON:0000178,UBERON:0001155",none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515851,PRJNA748731,"COVID-19, ARDS, healthy control",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirates",UBERON:0016553,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515852,PRJNA748731,"COVID-19, ARDS (acute respiratory distress syndrome)",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate (airway)",UBERON:0003126,,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515857,PRJNA748731,COVID-19,MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate",UBERON:0006538,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515863,PRJNA748731,"COVID-19, non-COVID ARDS, healthy",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate cells","UBERON:0000178,UBERON:0001004",none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515866,PRJNA748731,COVID-19,MONDO:0100096,,"peripheral blood mononuclear cells (PBMC), endotracheal aspirate (ETA)","UBERON:0000178,UBERON:0006538",none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515871,PRJNA748731,COVID-19,MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate","UBERON:0000178,UBERON:0006833",none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515875,PRJNA748731,"COVID-19, ARDS, healthy control",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirates",UBERON:0006833,none,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515876,PRJNA748731,"COVID-19, ARDS",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirates",UBERON:0006833,not_applicable,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11515879,PRJNA748731,"COVID-19, ARDS (acute respiratory distress syndrome)",MONDO:0100096,,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate cells",UBERON:0002174,None,COVID-19 / SARS-CoV-2,disease_text,True,False,,False,False,non_lung
SRX11987892,PRJNA759630,non-small cell lung cancer (NSCLC),MONDO:0005233,,"lung tumor stroma (primary sorted stromal cells, CD45–/EpCAM–, CD29+/PDPN+)",UBERON:0004539,none,Lung Cancer,disease_text,True,False,,False,True,
SRX11987893,PRJNA759630,adjacent non-tumor (control for NSCLC); donor not diseased,MONDO:0005233,,"lung (adjacent non-tumor), sorted stromal cells (CD29+, PDPN+, CD45–, EpCAM–)","UBERON:0002048,UBERON:0003891",not applicable,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
SRX11987894,PRJNA759630,non-small cell lung carcinoma (NSCLC),MONDO:0005233,,"lung tumor stroma (NSCLC, FACS-sorted CD29+, PDPN+ cells)",UBERON:0000114,not_applicable,Lung Cancer,disease_text,True,False,,False,True,
SRX11987895,PRJNA759630,non-small cell lung cancer (adjacent normal),MONDO:0005233,,lung (adjacent normal tissue),UBERON:0002048,not_applicable,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
SRX11987896,PRJNA759630,non-small cell lung carcinoma (NSCLC),MONDO:0005233,,lung tumor (sorted stromal cells),UBERON:0000114,none,Lung Cancer,disease_text,True,False,,False,True,
SRX11987897,PRJNA759630,none (adjacent normal from NSCLC patients),,,lung stroma (adjacent normal tissue),UBERON:0000114,none,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
SRX11987898,PRJNA759630,non-small cell lung cancer (NSCLC),MONDO:0005233,,"lung tumor, adjacent normal lung, stromal cells","UBERON:0002048,UBERON:0008946",none,Lung Cancer,disease_text,True,False,,False,True,
SRX11987899,PRJNA759630,none (normal adjacent tissue from NSCLC patients),,,"lung (adjacent non-tumor tissue), stromal cells","UBERON:0002048,UBERON:0003891",not applicable (primary cells),Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
