run_id,algorithm,pair_index,author_label,algorithm_label,author_ontology_id,author_embedding_similarity,algorithm_ontology_id,algorithm_embedding_similarity,cytescore_similarity,similarity_method,pair_label,accession,table_filepath
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,22,macrophage,Quiescent alveolar macrophage,CL:0009048,0.6254,CL:0000583,0.6558,0.2957,cytescore,macrophageQuiescent alveolar macrophage,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,23,"CD4-positive, alpha-beta T cell",Lipid-associated macrophage,CL:0000624,0.7171,CL:4033086,0.7004,0.0703,cytescore,"CD4-positive, alpha-beta T cellLipid-associated macrophage",SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,25,"CD4-positive, alpha-beta T cell",Adventitial fibroblast,CL:0000624,0.7171,CL:1000306,0.6503,0.0474,cytescore,"CD4-positive, alpha-beta T cellAdventitial fibroblast",SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,28,"CD4-positive, alpha-beta T cell",Ciliated macrophage-like,CL:0000624,0.7171,CL:0000421,0.609,0.1074,cytescore,"CD4-positive, alpha-beta T cellCiliated macrophage-like",SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,29,macrophage,Alveolar macrophage,CL:0009048,0.6254,CL:0000583,0.6975,0.2957,cytescore,macrophageAlveolar macrophage,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,33,plasma cell,AT2 cells - ion transport activated,CL:0000946,0.6519,CL:4030016,0.5986,0.0791,cytescore,plasma cellAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,35,endothelial cell of artery,Alveolar capillary endothelial cell,CL:1000413,0.7141,CL:4028002,0.7446,0.3339,cytescore,endothelial cell of arteryAlveolar capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,41,intermediate monocyte,Classical monocyte,CL:0002393,0.6889,CL:0000860,0.7014,0.5239,cytescore,intermediate monocyteClassical monocyte,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,43,pericyte,Lung pericytes,CL:0000669,0.6833,CL:0009089,0.7183,0.6048,cytescore,pericyteLung pericytes,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,54,plasma cell,Plasma cell,CL:0000946,0.6519,CL:0000946,0.6399,1.0,cytescore,plasma cellPlasma cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,56,"CD4-positive, alpha-beta T cell",AT2 cells - ion transport activated,CL:0000624,0.7171,CL:4030016,0.5986,0.0855,cytescore,"CD4-positive, alpha-beta T cellAT2 cells - ion transport activated",SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,58,capillary endothelial cell,AT2 cells - ion transport activated,CL:0002144,0.6632,CL:4030016,0.5986,0.1274,cytescore,capillary endothelial cellAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,59,capillary endothelial cell,AT2-to-AT1 transitional cells,CL:0002144,0.6632,CL:1000365,0.6004,0.0866,cytescore,capillary endothelial cellAT2-to-AT1 transitional cells,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,61,"CD4-positive, alpha-beta T cell",Macrophage-like pulmonary capillary endothelial cell,CL:0000624,0.7171,CL:2000016,0.6928,0.0618,cytescore,"CD4-positive, alpha-beta T cellMacrophage-like pulmonary capillary endothelial cell",SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,67,vein endothelial cell,General capillary endothelial cell,CL:0002543,0.7328,CL:4028002,0.6366,0.2842,cytescore,vein endothelial cellGeneral capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,78,B cell,Plasma cell,CL:0000944,0.6114,CL:0000946,0.6399,0.291,cytescore,B cellPlasma cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,91,capillary endothelial cell,Macrophage-like pulmonary capillary endothelial cell,CL:0002144,0.6632,CL:2000016,0.6928,0.6447,cytescore,capillary endothelial cellMacrophage-like pulmonary capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,92,B cell,AT2 cells - ion transport activated,CL:0000944,0.6114,CL:4030016,0.5986,0.0708,cytescore,B cellAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,93,plasma cell,Alveolar capillary endothelial cell,CL:0000946,0.6519,CL:4028002,0.7446,0.074,cytescore,plasma cellAlveolar capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,96,pulmonary alveolar type 1 cell,Lung pericytes,CL:0002062,0.7371,CL:0009089,0.7183,0.258,cytescore,pulmonary alveolar type 1 cellLung pericytes,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,100,macrophage,Lipid-associated macrophage,CL:0009048,0.6254,CL:4033086,0.7004,0.3168,cytescore,macrophageLipid-associated macrophage,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,110,B cell,Quiescent alveolar macrophage,CL:0000944,0.6114,CL:0000583,0.6558,0.0672,cytescore,B cellQuiescent alveolar macrophage,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,119,lung multiciliated epithelial cell,Multiciliated epithelial cells - smooth muscle-like subset,CL:1000271,0.7141,CL:0000067,0.7045,0.9021,cytescore,lung multiciliated epithelial cellMulticiliated epithelial cells - smooth muscle-like subset,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,148,intermediate monocyte,AT2 cells - ion transport activated,CL:0002393,0.6889,CL:4030016,0.5986,0.0436,cytescore,intermediate monocyteAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,162,macrophage,AT2 cells - ion transport activated,CL:0009048,0.6254,CL:4030016,0.5986,0.051,cytescore,macrophageAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,166,pulmonary alveolar type 2 cell,Macrophage-like pulmonary capillary endothelial cell,CL:0002063,0.7484,CL:2000016,0.6928,0.3306,cytescore,pulmonary alveolar type 2 cellMacrophage-like pulmonary capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,168,classical monocyte,AT2 cells - ion transport activated,CL:0000860,0.6869,CL:4030016,0.5986,0.061,cytescore,classical monocyteAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,171,B cell,Lymphatic capillary endothelial cell,CL:0000944,0.6114,CL:1000411,0.6869,0.1688,cytescore,B cellLymphatic capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,172,pulmonary alveolar type 1 cell,AT2 cells - ion transport activated,CL:0002062,0.7371,CL:4030016,0.5986,0.106,cytescore,pulmonary alveolar type 1 cellAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,177,plasma cell,Adventitial fibroblast,CL:0000946,0.6519,CL:1000306,0.6503,0.0642,cytescore,plasma cellAdventitial fibroblast,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,189,monocyte,Classical monocyte,CL:0002398,0.6073,CL:0000860,0.7014,0.5237,cytescore,monocyteClassical monocyte,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,200,"CD4-positive, alpha-beta T cell",Plasma cell,CL:0000624,0.7171,CL:0000946,0.6399,0.2101,cytescore,"CD4-positive, alpha-beta T cellPlasma cell",SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,208,B cell,T cell,CL:0000944,0.6114,CL:0000084,0.5812,0.207,cytescore,B cellT cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,212,classical monocyte,Classical monocyte,CL:0000860,0.6869,CL:0000860,0.7014,1.0,cytescore,classical monocyteClassical monocyte,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,216,alveolar adventitial fibroblast,AT2 cells - ion transport activated,CL:4028006,0.7123,CL:4030016,0.5986,0.0334,cytescore,alveolar adventitial fibroblastAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,223,pulmonary alveolar type 2 cell,Adventitial fibroblast,CL:0002063,0.7484,CL:1000306,0.6503,0.1006,cytescore,pulmonary alveolar type 2 cellAdventitial fibroblast,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,244,pericyte,Vascular smooth muscle cell,CL:0000669,0.6833,CL:0002595,0.6783,0.1545,cytescore,pericyteVascular smooth muscle cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,246,B cell,Alveolar capillary endothelial cell,CL:0000944,0.6114,CL:4028002,0.7446,0.0738,cytescore,B cellAlveolar capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,257,respiratory tract goblet cell,AT2-to-AT1 transitional cells,CL:0019003,0.7122,CL:1000365,0.6004,0.0631,cytescore,respiratory tract goblet cellAT2-to-AT1 transitional cells,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,284,B cell,Vascular smooth muscle cell,CL:0000944,0.6114,CL:0002595,0.6783,0.0616,cytescore,B cellVascular smooth muscle cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,292,capillary endothelial cell,Plasma cell,CL:0002144,0.6632,CL:0000946,0.6399,0.1239,cytescore,capillary endothelial cellPlasma cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,307,capillary endothelial cell,T cell,CL:0002144,0.6632,CL:0000084,0.5812,0.1564,cytescore,capillary endothelial cellT cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,317,B cell,Ciliated macrophage-like,CL:0000944,0.6114,CL:0000421,0.609,0.1477,cytescore,B cellCiliated macrophage-like,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,322,respiratory tract goblet cell,Macrophage-like pulmonary capillary endothelial cell,CL:0019003,0.7122,CL:2000016,0.6928,0.1693,cytescore,respiratory tract goblet cellMacrophage-like pulmonary capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,324,endothelial cell of artery,General capillary endothelial cell,CL:1000413,0.7141,CL:4028002,0.6366,0.3339,cytescore,endothelial cell of arteryGeneral capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,379,"CD4-positive, alpha-beta T cell",Lymphatic capillary endothelial cell,CL:0000624,0.7171,CL:1000411,0.6869,0.1225,cytescore,"CD4-positive, alpha-beta T cellLymphatic capillary endothelial cell",SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,393,pulmonary alveolar type 1 cell,Classical monocyte,CL:0002062,0.7371,CL:0000860,0.7014,0.0855,cytescore,pulmonary alveolar type 1 cellClassical monocyte,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,403,monocyte,AT2 cells - ion transport activated,CL:0002398,0.6073,CL:4030016,0.5986,0.0641,cytescore,monocyteAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,407,vein endothelial cell,Alveolar capillary endothelial cell,CL:0002543,0.7328,CL:4028002,0.7446,0.2842,cytescore,vein endothelial cellAlveolar capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,409,capillary endothelial cell,Lipid-associated macrophage,CL:0002144,0.6632,CL:4033086,0.7004,0.0859,cytescore,capillary endothelial cellLipid-associated macrophage,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,429,B cell,Adventitial fibroblast,CL:0000944,0.6114,CL:1000306,0.6503,0.043,cytescore,B cellAdventitial fibroblast,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,433,macrophage,Alveolar capillary endothelial cell,CL:0009048,0.6254,CL:4028002,0.7446,0.0618,cytescore,macrophageAlveolar capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,436,bronchial smooth muscle cell,Vascular smooth muscle cell,CL:4033017,0.7386,CL:0002595,0.6783,0.2828,cytescore,bronchial smooth muscle cellVascular smooth muscle cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,476,pericyte,Adventitial fibroblast,CL:0000669,0.6833,CL:1000306,0.6503,0.2643,cytescore,pericyteAdventitial fibroblast,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,539,club cell,AT2-to-AT1 transitional cells,CL:0002651,0.6396,CL:1000365,0.6004,0.0784,cytescore,club cellAT2-to-AT1 transitional cells,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,554,plasma cell,Lipid-associated macrophage,CL:0000946,0.6519,CL:4033086,0.7004,0.0818,cytescore,plasma cellLipid-associated macrophage,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,606,pulmonary alveolar type 1 cell,Adventitial fibroblast,CL:0002062,0.7371,CL:1000306,0.6503,0.071,cytescore,pulmonary alveolar type 1 cellAdventitial fibroblast,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,616,lung multiciliated epithelial cell,AT2 cells - ion transport activated,CL:1000271,0.7141,CL:4030016,0.5986,0.1463,cytescore,lung multiciliated epithelial cellAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,632,endothelial cell of artery,AT2 cells - ion transport activated,CL:1000413,0.7141,CL:4030016,0.5986,0.113,cytescore,endothelial cell of arteryAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,640,B cell,Lipid-associated macrophage,CL:0000944,0.6114,CL:4033086,0.7004,0.0496,cytescore,B cellLipid-associated macrophage,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,694,capillary endothelial cell,Lymphatic capillary endothelial cell,CL:0002144,0.6632,CL:1000411,0.6869,0.3707,cytescore,capillary endothelial cellLymphatic capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
